-3.65524	175.102
-9.11921	264.095
7.24553	400.601
14.2818	532.014
-22.0347	786.59
-3.72329	1247.35
-36.5381	1338.82
25.9993	1388.26
-37.9229	1507.38
40.3105	1650.16
-41.5987	1866.84
37.4478	2124.06
46.7137	2186.65
-46.7509	2190.43
-22.8107	2538.09
5.19844	3130.16
54.5007	3224.31
40.8171	3464.62
21.9453	3576.45
21.0964	3658.06
36.724	4080.98
-24.7943	4093.71
-52.8245	4151.31
-28.8782	4496.07
54.5356	4539.97
10.5373	4612.18
54.8063	5443.17
-67.8297	5797.15
28.5655	5901.88
-39.5763	6032.87
61.3871	6034.4
-55.4714	6205.79
76.99	6570.3
5.21412	6710.34
58.6118	7444.55
77.1188	7702.2
82.6187	8100.58
90.0025	8105.37
-84.3927	8291.8
-55.1676	8858.56
-63.7531	8868.06
-92.449	8993.36
-80.6279	9246.12
28.9888	9455.75
76.4603	9909.73
-34.1591	10046.9
-59.5595	12525.9
69.5335	13410.3
76.3643	14739.3
80.4411	15072.6
